Jordyn Wieber,United States,2012,Gymnastics,1,0,0,1
Andreea Grigore,Romania,2008,Gymnastics,0,0,1,1
Ana Tamârjan,Romania,2008,Gymnastics,0,0,1,1
Ling Jie,China,2000,Gymnastics,0,1,0,1
Modeste M'Bami,Cameroon,2000,Football,1,0,0,1
Olha Kharlan,Ukraine,2008,Fencing,1,0,0,1
Cao Yuan,China,2012,Diving,1,0,0,1
Lin Yue,China,2008,Diving,1,0,0,1
Li Ting,China,2004,Diving,1,0,0,1
Claressa Shields,United States,2012,Boxing,1,0,0,1
Amir Khan,Great Britain,2004,Boxing,0,1,0,1
Atagün Yalçinkaya,Turkey,2004,Boxing,0,1,0,1
Ricky Rubio,Spain,2008,Basketball,0,1,0,1
Timothy Kitum,Kenya,2012,Athletics,0,0,1,1
Kamila Skolimowska,Poland,2000,Athletics,1,0,0,1
Tim Cuddihy,Australia,2004,Archery,0,0,1,1
Wang Cheng-Pang,Chinese Taipei,2004,Archery,0,1,0,1
Kateryna Serdiuk,Ukraine,2000,Archery,0,1,0,1
Nastia Liukin,United States,2008,Gymnastics,1,3,1,5
Brittany Elmslie,Australia,2012,Swimming,1,2,0,3
Leisel Jones,Australia,2004,Swimming,1,1,1,3
Yana Klochkova,Ukraine,2000,Swimming,2,1,0,3
Aly Raisman,United States,2012,Gymnastics,2,0,1,3
Park Tae-Hwan,South Korea,2008,Swimming,1,1,0,2
Kara Lynn Joyce,United States,2004,Swimming,0,2,0,2
Alice Mills,Australia,2004,Swimming,2,0,0,2
Amanda Weir,United States,2004,Swimming,0,2,0,2
Klete Keller,United States,2000,Swimming,0,1,1,2
Diana Munz,United States,2000,Swimming,1,1,0,2
Zhou Yang,China,2010,Short-Track Speed Skating,2,0,0,2
Sandra Izbasa,Romania,2008,Gymnastics,1,0,1,2
Terin Humphrey,United States,2004,Gymnastics,0,2,0,2
Courtney Kupets,United States,2004,Gymnastics,0,1,1,2
Maria Olaru,Romania,2000,Gymnastics,1,1,0,2
Becca Ward,United States,2008,Fencing,0,0,2,2
Wu Minxia,China,2004,Diving,1,1,0,2
Guo Jingjing,China,2000,Diving,0,2,0,2
Xu Li,China,2008,Wrestling,0,1,0,1
Wang Xu,China,2004,Wrestling,1,0,0,1
Valentin Xristov,Azerbaijan,2012,Weightlifting,0,0,1,1
Szymon Kolecki,Poland,2000,Weightlifting,0,1,0,1
Dušan Mandic,Serbia,2012,Waterpolo,0,0,1,1
Nancy Carrillo,Cuba,2004,Volleyball,0,0,1,1
Huang Shanshan,China,2004,Trampoline,0,0,1,1
Aleksey Denisenko,Russia,2012,Taekwondo,0,0,1,1
Hwang Gyeong-Seon,South Korea,2004,Taekwondo,0,0,1,1
Laura Robson,Great Britain,2012,Tennis,0,1,0,1
Yelena Dementyeva,Russia,2000,Tennis,0,1,0,1
Serena Williams,United States,2000,Tennis,1,0,0,1
Huang Xuechen,China,2008,Synchronized Swimming,0,0,1,1
